event_id,question,outcome,avg_price,volume,price_std_dev,time_before_certainty,offset_before_certainty,collection_period,time_of_event_close
903772,George Santos wins NY-1 Republican Primary?,0,0.025,1649.180743,0.0,86400,1719273600,900,1719273600
17537,Will Noboa win outright in 1st round of Ecuador Election? ,0,0.305,14058.143089,0.0,86400,1739102400,900,1739102400
901321,Will Trump win the 2024 Iowa Caucus?,1,0.9695,94332.03,0.0,86400,1705201203,900,1707091200
14227,German Bundestag dissolved in 2024?,1,0.86,1175397.769589,0.0,86400,1734692403,900,1735646400
10568,Will the EPP win the most seats in European Parliament?,1,0.9735,29714.821193,0.0,86400,1717693202,900,1717934400
10568,Will Renew win the most seats in European Parliament?,0,0.004,29714.821193,0.0,86400,1717693202,900,1717934400
10568,Will the S&D win the most seats in European Parliament?,0,0.018,29714.821193,0.0,86400,1717693202,900,1717934400
10568,Will ID win the most seats in European Parliament?,0,0.007,29714.821193,0.0,86400,1717693202,900,1717934400
10568,Will the ECR win the most seats in European Parliament?,0,0.003,29714.821193,0.0,86400,1717693202,900,1717934400
10568,Will another party win the most seats in European Parliament?,0,0.0035,29714.821193,0.0,86400,1717693202,900,1717934400
11355,Will Labour win less than 450 seats in the next UK Election?,1,0.5058333333333334,13019.299847,0.002041241452319317,86400,1720094400,900,1720094400
11355,Will Labour win between 450 and 474 seats in the next UK Election?,0,0.28,13019.299847,0.0,86400,1720094400,900,1720094400
11355,Will Labour win between 475 and 499 seats in the next UK Election?,0,0.215,13019.299847,0.0,86400,1720094400,900,1720094400
11355,Will Labour win between 500 and 524 seats in the next UK Election?,0,0.026666666666666665,13019.299847,0.0020412414523193153,86400,1720094400,900,1720094400
11355,Will Labour win 525+ seats in the next UK Election?,0,0.020416666666666666,13019.299847,0.003878358759406698,86400,1720094400,900,1720094400
903637,Will a Democrat win Nevada Presidential Election?,0,0.43666666666666665,14747559.128101,0.004082482904638634,86400,1730721600,900,1730721600
903637,Will a Republican win Nevada Presidential Election?,1,0.565,14747559.128101,0.0,86400,1730721600,900,1730721600
903637,Will a candidate from another party win Nevada Presidential Election?,0,0.0005,14747559.128101,0.0,86400,1730721600,900,1730721600
10268,Will Cori Bush win the MO-1 Democratic House Primary?,0,0.185,143946.449273,0.0,86400,1722945600,900,1722945600
10268,Will Wesley Bell win the MO-1 Democratic House Primary?,1,0.81,143946.449273,0.0,86400,1722945600,900,1722945600
10268,Will Maria Chappelle-Nadal win the MO-1 Democratic House Primary?,0,0.0045,143946.449273,0.0,86400,1722945600,900,1722945600
10268,Will Ron Harshaw win the MO-1 Democratic House Primary?,0,0.005,143946.449273,0.0,86400,1722945600,900,1722945600
10268,Will another candidate win the MO-1 Democratic House Primary?,0,0.002,143946.449273,0.0,86400,1722945600,900,1722945600
902541,Will Barbara Lee advance from the 2024 CA Senate Primary?,0,0.015,201746.87,0.0,86400,1709596800,900,1709596800
902541,Will Laphonza Butler advance from the 2024 CA Senate Primary?,0,0.0095,201746.87,0.0,86400,1709596800,900,1709596800
902541,Will Steve Garvey advance from the 2024 CA Senate Primary?,1,0.825,201746.87,0.0,86400,1709596800,900,1709596800
902541,Will Adam Schiff advance from the 2024 CA Senate Primary?,1,0.964,201746.87,0.0,86400,1709596800,900,1709596800
